2025-04-03 14:45:20.734 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-04-03 14:45:20.734 [info] Added views:workbench.panel.chat.view.edits in workbench.panel.chatEditing
2025-04-03 14:45:20.734 [info] Added views:outline in workbench.view.explorer
2025-04-03 14:45:20.734 [info] Added views:workbench.view.search in workbench.view.search
2025-04-03 14:45:20.734 [info] Added views:workbench.scm in workbench.view.scm
2025-04-03 14:45:20.734 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-04-03 14:45:20.734 [info] Added views:workbench.panel.output in workbench.panel.output
2025-04-03 14:45:20.734 [info] Added views:terminal in terminal
2025-04-03 14:45:20.734 [info] Added views:timeline in workbench.view.explorer
2025-04-03 14:45:20.734 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-04-03 14:45:20.984 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-04-03 14:45:21.520 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-04-03 14:45:21.822 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-04-03 14:45:21.930 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-04-03 14:45:22.132 [info] Added views:workbench.scm.history in workbench.view.scm
2025-04-03 14:45:26.083 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:45:26.087 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2025-04-03 14:47:08.152 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:47:08.165 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:47:32.549 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:47:32.558 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:47:34.589 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:47:34.600 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:48:26.800 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:48:26.806 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:48:32.350 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:48:32.362 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:50:19.015 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:50:19.021 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:50:20.756 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:50:20.765 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:58:36.008 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:58:36.014 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:58:38.040 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:58:38.045 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:59:09.485 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:59:09.492 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:59:11.072 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:59:11.081 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:59:47.811 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:59:47.820 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 14:59:50.012 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 14:59:50.016 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 14:59:55.536 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 14:59:55.544 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 15:00:06.096 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 15:00:06.105 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 15:00:27.032 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 15:00:27.039 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 15:00:27.772 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 15:00:27.775 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 15:00:38.014 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 15:00:38.020 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 15:00:41.449 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 15:00:41.457 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 15:00:52.897 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2025-04-03 15:00:52.902 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2025-04-03 15:00:54.476 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2025-04-03 15:00:54.482 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2025-04-03 15:01:02.855 [info] Added views:gitlens.views.scm.grouped in workbench.view.scm
2025-04-03 15:01:02.857 [info] Added views:gitlens.views.commitDetails,gitlens.views.lineHistory,gitlens.views.fileHistory,gitlens.views.searchAndCompare in workbench.view.extension.gitlensInspect
2025-04-03 15:01:02.858 [info] Added views:gitlens.views.home,gitlens.views.launchpad,gitlens.views.workspaces in workbench.view.extension.gitlens
2025-04-03 15:01:03.133 [info] Removed views:gitlens.views.searchAndCompare,gitlens.views.fileHistory,gitlens.views.lineHistory,gitlens.views.commitDetails from workbench.view.extension.gitlensInspect
2025-04-03 15:01:03.135 [info] Removed views:gitlens.views.scm.grouped from workbench.view.scm
2025-04-03 15:01:03.233 [info] Added views:gitlens.views.drafts in workbench.view.extension.gitlens
2025-04-03 15:01:03.262 [info] Added views:gitlens.views.commitDetails,gitlens.views.lineHistory,gitlens.views.fileHistory,gitlens.views.searchAndCompare in workbench.view.extension.gitlensInspect
2025-04-03 15:01:03.262 [info] Added views:gitlens.views.scm.grouped in workbench.view.scm
